Message,SystemTOV,GPSTOV,TimeSinceLastMsg,"LinearAccelerationX(m/s^2)","LinearAccelerationY(m/s^2)","LinearAccelerationZ(m/s^2)","AngularRateX(rad/s)","AngularRateY(rad/s)","AngularRateZ(rad/s)"
0x2311,2115.7573374781,199291.55078968,0,-9.818995,-0.002825446,-0.04283227,-0.0001296983,0.0002645305,-9.882497E-05
0x2311,2115.7673374781,199291.56078968,0.0100000000002183,-9.809114,-0.002790615,-0.03766045,0.0001305365,-0.0001703505,-0.0001745182
0x2311,2115.7673374781,199291.56078968,0,-9.809114,-0.002790615,-0.03766045,0.0001305365,-0.0001703505,-0.0001745182
0x2311,2115.7673374781,199291.56078968,0,-9.809114,-0.002790615,-0.03766045,0.0001305365,-0.0001703505,-0.0001745182
0x2311,2115.7673374781,199291.56078968,0,-9.809114,-0.002790615,-0.03766045,0.0001305365,-0.0001703505,-0.0001745182
0x2311,2115.7673374781,199291.56078968,0,-9.809114,-0.002790615,-0.03766045,0.0001305365,-0.0001703505,-0.0001745182
0x2311,2115.7773374781,199291.57078968,0.0100000000002183,-9.82212,-0.01833141,-0.05203057,4.863832E-05,0.000409002,-5.400507E-05
0x2311,2115.7773374781,199291.57078968,0,-9.82212,-0.01833141,-0.05203057,4.863832E-05,0.000409002,-5.400507E-05
0x2311,2115.7773374781,199291.57078968,0,-9.82212,-0.01833141,-0.05203057,4.863832E-05,0.000409002,-5.400507E-05
0x2311,2115.7773374781,199291.57078968,0,-9.82212,-0.01833141,-0.05203057,4.863832E-05,0.000409002,-5.400507E-05
0x2311,2115.7773374781,199291.57078968,0,-9.82212,-0.01833141,-0.05203057,4.863832E-05,0.000409002,-5.400507E-05
0x2311,2115.7873374781,199291.58078968,0.00999999999976353,-9.799123,-0.01755469,-0.05333852,0.0001152745,0.0001177774,-0.0003094669
0x2311,2115.7873374781,199291.58078968,0,-9.799123,-0.01755469,-0.05333852,0.0001152745,0.0001177774,-0.0003094669
0x2311,2115.7873374781,199291.58078968,0,-9.799123,-0.01755469,-0.05333852,0.0001152745,0.0001177774,-0.0003094669
0x2311,2115.7873374781,199291.58078968,0,-9.799123,-0.01755469,-0.05333852,0.0001152745,0.0001177774,-0.0003094669
0x2311,2115.7873374781,199291.58078968,0,-9.799123,-0.01755469,-0.05333852,0.0001152745,0.0001177774,-0.0003094669
0x2311,2115.7973374781,199291.59078968,0.0100000000002183,-9.809439,-0.01093429,-0.04571583,0.000194076,0.0003784895,-0.0004173489
0x2311,2115.7973374781,199291.59078968,0,-9.809439,-0.01093429,-0.04571583,0.000194076,0.0003784895,-0.0004173489
0x2311,2115.7973374781,199291.59078968,0,-9.809439,-0.01093429,-0.04571583,0.000194076,0.0003784895,-0.0004173489
0x2311,2115.7973374781,199291.59078968,0,-9.809439,-0.01093429,-0.04571583,0.000194076,0.0003784895,-0.0004173489
0x2311,2115.7973374781,199291.59078968,0,-9.809439,-0.01093429,-0.04571583,0.000194076,0.0003784895,-0.0004173489
0x2311,2115.8073374781,199291.60078968,0.00999999999976353,-9.80602,-0.0004163012,-0.0471076,-7.784693E-05,1.323642E-05,-0.0001606997
0x2311,2115.8073374781,199291.60078968,0,-9.80602,-0.0004163012,-0.0471076,-7.784693E-05,1.323642E-05,-0.0001606997
0x2311,2115.8073374781,199291.60078968,0,-9.80602,-0.0004163012,-0.0471076,-7.784693E-05,1.323642E-05,-0.0001606997
0x2311,2115.8073374781,199291.60078968,0,-9.80602,-0.0004163012,-0.0471076,-7.784693E-05,1.323642E-05,-0.0001606997
0x2311,2115.8073374781,199291.60078968,0,-9.80602,-0.0004163012,-0.0471076,-7.784693E-05,1.323642E-05,-0.0001606997
0x2311,2115.8173374781,199291.61078968,0.0100000000002183,-9.81179,-0.01008771,-0.04611351,4.291069E-05,0.0002383022,2.747402E-06
0x2311,2115.8173374781,199291.61078968,0,-9.81179,-0.01008771,-0.04611351,4.291069E-05,0.0002383022,2.747402E-06
0x2311,2115.8173374781,199291.61078968,0,-9.81179,-0.01008771,-0.04611351,4.291069E-05,0.0002383022,2.747402E-06
0x2311,2115.8173374781,199291.61078968,0,-9.81179,-0.01008771,-0.04611351,4.291069E-05,0.0002383022,2.747402E-06
0x2311,2115.8173374781,199291.61078968,0,-9.81179,-0.01008771,-0.04611351,4.291069E-05,0.0002383022,2.747402E-06
0x2311,2115.8273374781,199291.62078968,0.00999999999976353,-9.806327,-0.01317021,-0.05203281,0.0001577195,0.0001726206,3.337627E-05
0x2311,2115.8273374781,199291.62078968,0,-9.806327,-0.01317021,-0.05203281,0.0001577195,0.0001726206,3.337627E-05
0x2311,2115.8273374781,199291.62078968,0,-9.806327,-0.01317021,-0.05203281,0.0001577195,0.0001726206,3.337627E-05
0x2311,2115.8273374781,199291.62078968,0,-9.806327,-0.01317021,-0.05203281,0.0001577195,0.0001726206,3.337627E-05
0x2311,2115.8373374781,199291.63078968,0.0100000000002183,-9.8061,-0.0169374,-0.04632622,1.383014E-05,0.0004810048,-0.0003925525
0x2311,2115.8373374781,199291.63078968,0,-9.8061,-0.0169374,-0.04632622,1.383014E-05,0.0004810048,-0.0003925525
0x2311,2115.8373374781,199291.63078968,0,-9.8061,-0.0169374,-0.04632622,1.383014E-05,0.0004810048,-0.0003925525
0x2311,2115.8373374781,199291.63078968,0,-9.8061,-0.0169374,-0.04632622,1.383014E-05,0.0004810048,-0.0003925525
0x2311,2115.8373374781,199291.63078968,0,-9.8061,-0.0169374,-0.04632622,1.383014E-05,0.0004810048,-0.0003925525
0x2311,2115.8473374781,199291.64078968,0.00999999999976353,-9.808566,-0.0004256144,-0.04972368,-0.0002042041,9.23872E-05,-0.0002512941
0x2311,2115.8473374781,199291.64078968,0,-9.808566,-0.0004256144,-0.04972368,-0.0002042041,9.23872E-05,-0.0002512941
0x2311,2115.8473374781,199291.64078968,0,-9.808566,-0.0004256144,-0.04972368,-0.0002042041,9.23872E-05,-0.0002512941
0x2311,2115.8473374781,199291.64078968,0,-9.808566,-0.0004256144,-0.04972368,-0.0002042041,9.23872E-05,-0.0002512941
0x2311,2115.8473374781,199291.64078968,0,-9.808566,-0.0004256144,-0.04972368,-0.0002042041,9.23872E-05,-0.0002512941
0x2311,2115.8573374781,199291.65078968,0.0100000000002183,-9.807335,-0.004485808,-0.04860628,-8.105999E-05,1.526205E-05,-9.452924E-05
0x2311,2115.8573374781,199291.65078968,0,-9.807335,-0.004485808,-0.04860628,-8.105999E-05,1.526205E-05,-9.452924E-05
0x2311,2115.8573374781,199291.65078968,0,-9.807335,-0.004485808,-0.04860628,-8.105999E-05,1.526205E-05,-9.452924E-05
0x2311,2115.8573374781,199291.65078968,0,-9.807335,-0.004485808,-0.04860628,-8.105999E-05,1.526205E-05,-9.452924E-05
0x2311,2115.8573374781,199291.65078968,0,-9.807335,-0.004485808,-0.04860628,-8.105999E-05,1.526205E-05,-9.452924E-05
0x2311,2115.8673374781,199291.66078968,0.00999999999976353,-9.795141,-0.02576821,-0.05637798,0.0001271954,0.0001749955,-0.000300887
0x2311,2115.8673374781,199291.66078968,0,-9.795141,-0.02576821,-0.05637798,0.0001271954,0.0001749955,-0.000300887
0x2311,2115.8673374781,199291.66078968,0,-9.795141,-0.02576821,-0.05637798,0.0001271954,0.0001749955,-0.000300887
0x2311,2115.8673374781,199291.66078968,0,-9.795141,-0.02576821,-0.05637798,0.0001271954,0.0001749955,-0.000300887
0x2311,2115.8673374781,199291.66078968,0,-9.795141,-0.02576821,-0.05637798,0.0001271954,0.0001749955,-0.000300887
0x2311,2115.8773374781,199291.67078968,0.0100000000002183,-9.806594,-0.019457,-0.05182121,-8.213101E-05,-0.0002350775,-0.0002412824
0x2311,2115.8773374781,199291.67078968,0,-9.806594,-0.019457,-0.05182121,-8.213101E-05,-0.0002350775,-0.0002412824
0x2311,2115.8773374781,199291.67078968,0,-9.806594,-0.019457,-0.05182121,-8.213101E-05,-0.0002350775,-0.0002412824
0x2311,2115.8773374781,199291.67078968,0,-9.806594,-0.019457,-0.05182121,-8.213101E-05,-0.0002350775,-0.0002412824
0x2311,2115.8773374781,199291.67078968,0,-9.806594,-0.019457,-0.05182121,-8.213101E-05,-0.0002350775,-0.0002412824
0x2311,2115.8873374781,199291.68078968,0.00999999999976353,-9.81074,-0.004755519,-0.04421361,3.242167E-05,-1.967419E-05,-0.0006486196
0x2311,2115.8873374781,199291.68078968,0,-9.81074,-0.004755519,-0.04421361,3.242167E-05,-1.967419E-05,-0.0006486196
0x2311,2115.8873374781,199291.68078968,0,-9.81074,-0.004755519,-0.04421361,3.242167E-05,-1.967419E-05,-0.0006486196
0x2311,2115.8873374781,199291.68078968,0,-9.81074,-0.004755519,-0.04421361,3.242167E-05,-1.967419E-05,-0.0006486196
0x2311,2115.8873374781,199291.68078968,0,-9.81074,-0.004755519,-0.04421361,3.242167E-05,-1.967419E-05,-0.0006486196
0x2311,2115.8973374781,199291.69078968,0.0100000000002183,-9.806486,-0.007197261,-0.04465301,-0.000190374,-0.0003881403,0.0001769047
0x2311,2115.8973374781,199291.69078968,0,-9.806486,-0.007197261,-0.04465301,-0.000190374,-0.0003881403,0.0001769047
0x2311,2115.8973374781,199291.69078968,0,-9.806486,-0.007197261,-0.04465301,-0.000190374,-0.0003881403,0.0001769047
0x2311,2115.8973374781,199291.69078968,0,-9.806486,-0.007197261,-0.04465301,-0.000190374,-0.0003881403,0.0001769047
0x2311,2115.8973374781,199291.69078968,0,-9.806486,-0.007197261,-0.04465301,-0.000190374,-0.0003881403,0.0001769047
0x2311,2115.9073374781,199291.70078968,0.00999999999976353,-9.796449,-0.01159236,-0.05102009,-3.86266E-05,-1.048902E-05,-2.015149E-05
0x2311,2115.9073374781,199291.70078968,0,-9.796449,-0.01159236,-0.05102009,-3.86266E-05,-1.048902E-05,-2.015149E-05
0x2311,2115.9073374781,199291.70078968,0,-9.796449,-0.01159236,-0.05102009,-3.86266E-05,-1.048902E-05,-2.015149E-05
0x2311,2115.9073374781,199291.70078968,0,-9.796449,-0.01159236,-0.05102009,-3.86266E-05,-1.048902E-05,-2.015149E-05
0x2311,2115.9073374781,199291.70078968,0,-9.796449,-0.01159236,-0.05102009,-3.86266E-05,-1.048902E-05,-2.015149E-05
0x2311,2115.9173374781,199291.71078968,0.0100000000002183,-9.807137,-0.01460258,-0.05615354,0.0001653447,-0.0002580928,-3.433088E-05
0x2311,2115.9173374781,199291.71078968,0,-9.807137,-0.01460258,-0.05615354,0.0001653447,-0.0002580928,-3.433088E-05
0x2311,2115.9173374781,199291.71078968,0,-9.807137,-0.01460258,-0.05615354,0.0001653447,-0.0002580928,-3.433088E-05
0x2311,2115.9173374781,199291.71078968,0,-9.807137,-0.01460258,-0.05615354,0.0001653447,-0.0002580928,-3.433088E-05
0x2311,2115.9173374781,199291.71078968,0,-9.807137,-0.01460258,-0.05615354,0.0001653447,-0.0002580928,-3.433088E-05
0x2311,2115.9273374781,199291.72078968,0.00999999999976353,-9.810393,-0.003347546,-0.04607048,-0.0003266381,-4.636822E-05,-0.0001450768
0x2311,2115.9273374781,199291.72078968,0,-9.810393,-0.003347546,-0.04607048,-0.0003266381,-4.636822E-05,-0.0001450768
0x2311,2115.9273374781,199291.72078968,0,-9.810393,-0.003347546,-0.04607048,-0.0003266381,-4.636822E-05,-0.0001450768
0x2311,2115.9273374781,199291.72078968,0,-9.810393,-0.003347546,-0.04607048,-0.0003266381,-4.636822E-05,-0.0001450768
0x2311,2115.9273374781,199291.72078968,0,-9.810393,-0.003347546,-0.04607048,-0.0003266381,-4.636822E-05,-0.0001450768
0x2311,2115.9373374781,199291.73078968,0.0100000000002183,-9.803696,0.002395175,-0.0398336,-0.0001808396,-0.0004860107,-7.771887E-05
0x2311,2115.9473374781,199291.74078968,0.00999999999976353,-9.801276,-0.01070406,-0.05171653,-5.674083E-05,-0.0004225993,-0.0001202803
0x2311,2115.9573374781,199291.75078968,0.0100000000002183,-9.801091,-0.01748968,-0.04321821,0.0002545072,-0.0005679089,-0.000150199
